Teff,U,B,V,R,I,J,H,K,u,g,r,i,z,G,BP,RP,U-B,B-V,V-R,R-I,J-H,H-K,u-g,g-r,r-i,i-z,V-J,r-J,G-RP,BP-RP,Log g,Mass,Age
5250.0,15.027,14.988,14.23,13.765,13.288,12.807,12.479,12.384,15.846,14.581,13.985,13.771,13.683,13.996,14.416,13.398,0.039,0.758,0.465,0.477,0.328,0.095,1.265,0.596,0.214,0.088,1.423,1.178,0.598,1.018,7.5,0.329,1.73900006E9
5500.0,14.526,14.644,13.978,13.555,13.115,12.679,12.368,12.285,15.342,14.279,13.765,13.586,13.523,13.772,14.145,13.218,-0.118,0.666,0.423,0.44,0.311,0.083,1.063,0.514,0.179,0.063,1.299,1.086,0.554,0.927,7.5,0.333,1.512E9
6000.0,13.717,14.075,13.55,13.199,12.823,12.46,12.182,12.126,14.534,13.771,13.393,13.273,13.253,13.388,13.684,12.915,-0.358,0.525,0.351,0.376,0.278,0.056,0.763,0.378,0.12,0.02,1.09,0.933,0.473,0.769,7.5,0.338,1.22899994E9
6500.0,13.13,13.621,13.194,12.9,12.578,12.279,12.034,12.001,13.95,13.356,13.081,13.011,13.027,13.066,13.304,12.66,-0.491,0.427,0.294,0.322,0.245,0.033,0.594,0.275,0.07,-0.016,0.915,0.802,0.406,0.644,7.5,0.341,1.022E9
7000.0,12.677,13.241,12.883,12.635,12.359,12.121,11.911,11.895,13.5,13.003,12.806,12.778,12.824,12.781,12.975,12.432,-0.564,0.358,0.248,0.276,0.21,0.016,0.497,0.197,0.028,-0.046,0.762,0.685,0.349,0.543,7.5,0.343,8.614E8
7500.0,12.31,12.91,12.603,12.394,12.158,11.977,11.802,11.8,13.136,12.69,12.556,12.564,12.639,12.522,12.682,12.224,-0.6,0.307,0.209,0.236,0.175,0.002,0.446,0.134,-0.008,-0.075,0.626,0.579,0.298,0.458,7.5,0.345,7.3329997E8
8000.0,12.001,12.615,12.345,12.172,11.972,11.845,11.704,11.712,12.83,12.406,12.326,12.365,12.467,12.284,12.415,12.031,-0.614,0.27,0.173,0.2,0.141,-0.008,0.424,0.08,-0.039,-0.102,0.5,0.481,0.253,0.384,7.5,0.347,6.2809997E8
8500.0,11.733,12.345,12.104,11.964,11.799,11.722,11.613,11.629,12.566,12.145,12.111,12.181,12.308,12.063,12.169,11.852,-0.612,0.241,0.14,0.165,0.109,-0.016,0.421,0.034,-0.07,-0.127,0.382,0.389,0.211,0.317,7.5,0.349,5.4110003E8
9000.0,11.496,12.096,11.876,11.769,11.638,11.608,11.528,11.551,12.332,11.902,11.91,12.008,12.161,11.855,11.939,11.685,-0.6,0.22,0.107,0.131,0.08,-0.023,0.43,-0.008,-0.098,-0.153,0.268,0.302,0.17,0.254,7.5,0.352,4.681E8
9500.0,11.282,11.867,11.664,11.588,11.49,11.502,11.45,11.478,12.12,11.677,11.724,11.848,12.027,11.661,11.726,11.532,-0.585,0.203,0.076,0.098,0.052,-0.028,0.443,-0.047,-0.124,-0.179,0.162,0.222,0.129,0.194,7.5,0.354,4.066E8
10000.0,11.087,11.658,11.47,11.424,11.357,11.406,11.379,11.411,11.928,11.471,11.555,11.704,11.907,11.485,11.532,11.394,-0.571,0.188,0.046,0.067,0.027,-0.032,0.457,-0.084,-0.149,-0.203,0.064,0.149,0.091,0.138,7.5,0.356,3.543E8
10500.0,10.917,11.48,11.307,11.287,11.248,11.326,11.318,11.354,11.76,11.296,11.413,11.586,11.807,11.336,11.368,11.279,-0.563,0.173,0.02,0.039,0.008,-0.036,0.464,-0.117,-0.173,-0.221,-0.019,0.087,0.057,0.089,7.5,0.359,3.097E8
11000.0,10.766,11.327,11.171,11.173,11.158,11.26,11.266,11.304,11.611,11.148,11.295,11.488,11.726,11.211,11.228,11.185,-0.561,0.156,-0.002,0.015,-0.006,-0.038,0.463,-0.147,-0.193,-0.238,-0.089,0.035,0.026,0.043,7.5,0.361,2.715E8
11500.0,10.641,11.202,11.062,11.083,11.087,11.207,11.224,11.263,11.486,11.028,11.202,11.412,11.662,11.11,11.115,11.111,-0.561,0.14,-0.021,-0.004,-0.017,-0.039,0.458,-0.174,-0.21,-0.25,-0.145,-0.005,-0.001,0.004,7.5,0.363,2.384E8
12000.0,10.55,11.11,10.985,11.021,11.038,11.169,11.191,11.231,11.395,10.94,11.136,11.359,11.616,11.038,11.034,11.059,-0.56,0.125,-0.036,-0.017,-0.022,-0.04,0.455,-0.196,-0.223,-0.257,-0.184,-0.033,-0.021,-0.025,7.5,0.364,2.096E8
